,ID,sample,ancestry,pred_ancestry,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10
42,MacArthurLab_43,test,nfe,nfe,-0.0139,-0.0172,-0.0436,0.013,0.0026,-0.0105,0.0109,-0.0414,0.0166,0.0116
43,MacArthurLab_44,train,nfe,nfe,-0.0143,-0.0156,-0.0459,0.0131,0.006,-0.0117,0.0122,-0.0462,0.0182,0.0116
44,MacArthurLab_45,train,nfe,nfe,-0.0136,-0.0186,-0.0302,0.0079,0.0064,-0.021,0.0042,-0.0304,0.0096,0.0176
45,MacArthurLab_46,train,nfe,nfe,-0.0132,-0.0326,-0.0031,-0.0034,-0.0114,-0.0321,-0.0057,0.0131,0.0063,-0.0114
46,MacArthurLab_47,test,nfe,nfe,-0.0129,-0.0316,-0.003,-0.0023,-0.013,-0.0324,-0.0043,0.0169,0.0063,-0.0135
47,MacArthurLab_48,train,nfe,nfe,-0.0126,-0.0328,-0.0034,-0.0027,-0.0117,-0.0322,-0.0063,0.0173,0.0033,-0.0152
48,MacArthurLab_49,train,nfe,nfe,-0.0173,-0.0218,-0.0618,0.0025,-0.0561,0.0701,0.004,0.0204,-0.0398,-0.023
49,MacArthurLab_50,missing,,nfe,-0.0125,-0.0319,-0.0035,-0.0038,-0.0122,-0.0341,-0.0041,0.0141,0.0045,-0.0137
50,MacArthurLab_51,train,nfe,nfe,-0.0129,-0.0322,-0.0038,-0.0043,-0.0109,-0.0326,-0.0072,0.017,0.0054,-0.0122
51,MacArthurLab_52,train,nfe,nfe,-0.0131,-0.0321,-0.0029,-0.0031,-0.0132,-0.0338,-0.0053,0.017,0.0062,-0.0148
52,MacArthurLab_53,test,nfe,nfe,-0.0127,-0.0323,-0.003,-0.0037,-0.0131,-0.0334,-0.0041,0.0164,0.0025,-0.0126
53,MacArthurLab_54,missing,,nfe,-0.0148,-0.0161,-0.046,0.0127,0.0026,-0.0075,0.0135,-0.0459,0.0218,0.0082
54,MacArthurLab_55,train,nfe,nfe,-0.0158,-0.0236,-0.0483,0.0018,-0.0447,0.0459,-0.0041,0.0227,-0.0325,-0.0071
55,MacArthurLab_56,train,nfe,nfe,-0.0164,-0.0243,-0.0507,-0.0025,-0.0556,0.0593,0.005,0.0147,-0.0339,-0.0217
56,MacArthurLab_57,missing,,nfe,-0.0158,-0.026,-0.0434,-0.0018,-0.0584,0.0511,0.0052,0.0134,-0.0261,-0.027
57,MacArthurLab_58,train,fin,fin,-0.0136,-0.0175,-0.0238,0.0032,0.0049,-0.0239,0.0052,-0.0378,0.0163,0.0199
58,MacArthurLab_59,test,fin,fin,-0.0138,-0.0273,-0.0015,-0.0076,-0.0143,-0.0324,-0.0015,0.0068,0.0109,-0.0131
59,MacArthurLab_60,train,fin,fin,-0.0137,-0.0175,-0.025,0.0035,0.0039,-0.0249,0.0043,-0.0352,0.0143,0.0217
60,MacArthurLab_61,train,fin,fin,-0.0132,-0.0262,-0.0011,-0.0064,-0.0144,-0.0305,-0.002,0.007,0.01,-0.0135
61,MacArthurLab_62,train,fin,fin,-0.0139,-0.026,-0.0068,-0.0045,-0.0119,-0.0257,-0.0027,-0.0066,-0.0069,0.0171
62,MacArthurLab_63,train,fin,fin,-0.0136,-0.0281,-0.0014,-0.0043,-0.0143,-0.0317,-0.0045,0.0095,0.008,-0.0124
63,MacArthurLab_64,test,fin,fin,-0.0127,-0.0259,-0.0071,-0.0062,-0.0112,-0.0238,-0.0032,-0.0047,-0.0091,0.0152
64,MacArthurLab_65,missing,,fin,-0.0137,-0.0276,-0.0046,-0.0072,-0.011,-0.0284,-0.0003,-0.0092,-0.0074,0.0118
65,MacArthurLab_66,train,fin,fin,-0.0138,-0.0265,-0.0057,-0.0037,-0.01,-0.0273,-0.0049,-0.0106,-0.0068,0.0144
66,MacArthurLab_67,train,fin,fin,-0.014,-0.0269,-0.0065,-0.0079,-0.0075,-0.0262,-0.0067,-0.011,-0.0099,0.0171
67,MacArthurLab_68,missing,,fin,-0.0134,-0.0254,-0.0077,-0.0066,-0.0108,-0.0264,-0.0027,-0.0138,-0.0127,0.024
68,MacArthurLab_69,train,fin,fin,-0.0139,-0.0258,-0.0052,-0.0063,-0.0073,-0.027,-0.0028,-0.0116,-0.0073,0.0198
69,MacArthurLab_70,missing,,nfe,-0.0141,-0.0298,-0.0038,-0.0063,-0.0103,-0.0269,-0.0038,-0.0043,-0.0078,0.0117
70,MacArthurLab_71,test,fin,fin,-0.0138,-0.027,-0.0045,-0.0062,-0.0129,-0.03,-0.0032,-0.0097,-0.0087,0.0166
71,MacArthurLab_72,missing,,nfe,-0.0132,-0.0314,-0.0026,-0.0052,-0.0125,-0.034,-0.0072,0.0179,0.0033,-0.0149
72,MacArthurLab_73,train,nfe,nfe,-0.0136,-0.0193,-0.0314,0.0091,0.0091,-0.023,0.0033,-0.0302,0.0098,0.018
73,MacArthurLab_74,train,nfe,nfe,-0.013,-0.031,-0.0052,-0.0045,-0.0087,-0.0295,-0.0034,0.0003,-0.0098,0.0148
74,MacArthurLab_75,missing,,nfe,-0.0129,-0.0318,-0.0035,-0.0033,-0.0123,-0.0321,-0.0058,0.017,0.0056,-0.0121
75,MacArthurLab_76,train,nfe,nfe,-0.013,-0.0319,-0.0028,-0.0042,-0.0114,-0.033,-0.0056,0.0145,0.0036,-0.0124
76,MacArthurLab_77,train,nfe,fin,-0.016,-0.0133,-0.059,0.016,-0.001,0.0057,0.0204,-0.0328,0.0182,-0.0259
77,MacArthurLab_78,test,nfe,fin,-0.015,-0.0126,-0.0535,0.014,-0.0018,0.0086,0.0212,-0.0294,0.0164,-0.0244
78,MacArthurLab_79,train,nfe,nfe,-0.0133,-0.0313,-0.0063,-0.0056,-0.0093,-0.0311,-0.0048,0.004,-0.0144,0.0123
79,MacArthurLab_80,train,nfe,nfe,-0.0129,-0.0308,-0.0064,-0.0035,-0.0102,-0.0275,-0.0036,0.0033,-0.0085,0.0095
80,MacArthurLab_81,missing,,nfe,-0.0159,-0.0258,-0.0441,-0.0005,-0.0418,0.0366,-0.0026,0.0083,-0.0239,0.0011
81,MacArthurLab_82,train,nfe,nfe,-0.0163,-0.0238,-0.0495,-0.0015,-0.0442,0.045,0.0007,0.0119,-0.0279,-0.0054
82,MacArthurLab_83,train,nfe,nfe,-0.017,-0.0242,-0.0578,0.0007,-0.0666,0.0745,0.0066,0.0142,-0.0382,-0.0347
83,MacArthurLab_84,train,nfe,nfe,-0.0127,-0.0206,-0.0242,0.0035,0.0038,-0.0244,0.0023,-0.0257,0.0078,0.025
84,MacArthurLab_85,train,nfe,nfe,-0.0131,-0.0227,-0.0231,0.0036,0.0034,-0.0244,0.0019,-0.0258,0.0121,0.0231
85,MacArthurLab_86,missing,,nfe,-0.0129,-0.0209,-0.0247,0.0052,0.0075,-0.0242,-0.0006,-0.0251,0.0087,0.0237
86,MacArthurLab_87,train,nfe,nfe,-0.0139,-0.0158,-0.043,0.0113,0.0029,-0.0094,0.0161,-0.0458,0.0209,0.0087
87,MacArthurLab_88,train,nfe,fin,-0.0152,-0.0125,-0.0586,0.0146,0.0033,0.0055,0.0219,-0.0327,0.0195,-0.0265
88,MacArthurLab_89,test,nfe,nfe,-0.0156,-0.0269,-0.0392,-0.0029,-0.037,0.0267,-0.0093,0.0178,-0.0212,0.0002
89,MacArthurLab_90,test,nfe,fin,-0.0145,-0.0142,-0.0495,0.012,-0.0069,0.0065,0.0211,-0.0346,0.0131,-0.0217
90,MacArthurLab_91,missing,,nfe,-0.0142,-0.0173,-0.0412,0.0105,0.0057,-0.0161,0.0096,-0.0457,0.0177,0.015
91,MacArthurLab_92,train,nfe,nfe,-0.0164,-0.0268,-0.0438,-0.001,-0.0463,0.0385,-0.0014,0.014,-0.0244,-0.006
92,MacArthurLab_93,missing,,nfe,-0.014,-0.0181,-0.037,0.0085,0.0109,-0.0227,0.0041,-0.0342,0.0102,0.0212
93,MacArthurLab_94,train,nfe,nfe,-0.0136,-0.0199,-0.0309,0.0067,0.0062,-0.0216,0.0035,-0.0319,0.0127,0.0206
94,MacArthurLab_95,train,nfe,nfe,-0.0134,-0.0187,-0.0299,0.0066,0.0049,-0.0227,0.0034,-0.0271,0.014,0.018
95,MacArthurLab_96,train,nfe,nfe,-0.0148,-0.0161,-0.044,0.0125,-0.0,-0.0071,0.013,-0.0459,0.021,0.0075
96,MacArthurLab_97,train,nfe,nfe,-0.0168,-0.0247,-0.0537,-0.0015,-0.0628,0.0634,0.0048,0.0166,-0.0382,-0.0252
97,MacArthurLab_98,train,nfe,nfe,-0.0156,-0.0263,-0.0363,-0.001,-0.0332,0.0255,-0.009,0.0182,-0.0185,0.0047
98,MacArthurLab_99,missing,,fin,-0.0142,-0.0281,-0.0009,-0.0043,-0.0134,-0.0334,-0.0006,0.0072,0.0105,-0.0151
99,MacArthurLab_100,missing,,fin,-0.0133,-0.0274,-0.001,-0.0053,-0.0126,-0.0304,-0.0004,0.0048,0.0124,-0.0111
100,MacArthurLab_101,train,fin,fin,-0.0165,-0.009,-0.0547,0.0117,-0.0028,0.009,0.0258,-0.0475,0.0263,-0.0257
101,MacArthurLab_102,missing,,fin,-0.0149,-0.0192,-0.0307,-0.0035,-0.0407,0.0336,0.0011,0.0084,-0.0167,-0.0097
102,MacArthurLab_103,train,fin,fin,-0.0139,-0.0171,-0.03,0.0061,0.006,-0.0239,0.005,-0.0397,0.0161,0.0216
103,MacArthurLab_104,test,fin,fin,-0.0146,-0.014,-0.0427,0.0102,-0.0013,-0.0068,0.0195,-0.0558,0.025,-0.0016
104,MacArthurLab_105,train,fin,fin,-0.0143,-0.0148,-0.0374,0.008,-0.0076,-0.0067,0.0189,-0.0601,0.0299,0.0012
105,MacArthurLab_106,train,fin,fin,-0.0138,-0.0174,-0.0332,0.0056,-0.0121,-0.0042,0.0173,-0.0518,0.0251,-0.0027
106,MacArthurLab_107,missing,,fin,-0.0146,-0.0146,-0.0391,0.0063,-0.0132,-0.0007,0.0224,-0.0646,0.0293,-0.0019
107,MacArthurLab_108,train,fin,fin,-0.0146,-0.0142,-0.041,0.0064,-0.0108,-0.0041,0.0228,-0.0688,0.0289,-0.0007
108,MacArthurLab_109,test,fin,fin,-0.0149,-0.0123,-0.0431,0.0079,-0.0018,-0.0048,0.0184,-0.056,0.0278,-0.0002
109,MacArthurLab_110,train,fin,fin,-0.015,-0.0129,-0.0453,0.0096,-0.0049,-0.0069,0.02,-0.0613,0.0283,0.0017
110,MacArthurLab_111,train,fin,fin,-0.0142,-0.0151,-0.0402,0.0064,-0.016,0.0045,0.0217,-0.0513,0.0224,-0.0208
111,MacArthurLab_112,missing,,fin,-0.0139,-0.0139,-0.0368,0.0065,-0.014,0.0013,0.0206,-0.0517,0.0244,-0.0146
112,MacArthurLab_113,missing,,nfe,-0.0138,-0.0253,-0.0059,-0.0007,0.0033,-0.0297,-0.0105,-0.0093,-0.0376,0.0177
113,MacArthurLab_114,test,fin,nfe,-0.0147,-0.0251,-0.0064,-0.001,-0.0027,-0.0308,-0.0114,-0.0123,-0.0362,0.0169
114,MacArthurLab_115,test,fin,fin,-0.0146,-0.0214,-0.0332,-0.0021,-0.0397,0.0357,-0.002,0.0151,-0.0198,-0.0068
115,MacArthurLab_116,train,fin,fin,-0.014,-0.0172,-0.0296,0.0044,0.0047,-0.0219,0.0077,-0.0444,0.0178,0.0237
116,MacArthurLab_117,test,fin,fin,-0.0149,-0.0166,-0.0409,0.0076,-0.0133,-0.0063,0.0205,-0.0603,0.027,-0.0023
117,MacArthurLab_118,train,fin,fin,-0.0156,-0.0228,-0.038,-0.0015,-0.0421,0.0355,0.0013,0.0145,-0.0203,-0.008
118,MacArthurLab_119,train,fin,nfe,-0.0155,-0.0208,-0.0349,-0.0009,-0.0287,0.0242,-0.0043,0.0037,-0.0129,0.0127
119,MacArthurLab_120,train,fin,fin,-0.0154,-0.0117,-0.045,0.011,0.0007,-0.0069,0.0196,-0.0575,0.022,0.004
120,MacArthurLab_121,missing,,fin,-0.0155,-0.0121,-0.0418,0.0101,-0.0021,-0.0049,0.0167,-0.0576,0.0304,-0.0001
121,MacArthurLab_122,missing,,fin,-0.0151,-0.015,-0.0433,0.0079,-0.0054,-0.007,0.0187,-0.0603,0.0278,0.0027
122,MacArthurLab_123,test,fin,fin,-0.0143,-0.016,-0.0376,0.0057,-0.0174,-0.0004,0.0212,-0.0524,0.0248,-0.0171
123,MacArthurLab_124,train,fin,fin,-0.0144,-0.0144,-0.0399,0.0057,-0.0159,0.0046,0.0217,-0.0505,0.0255,-0.0211
124,MacArthurLab_125,train,fin,fin,-0.0155,-0.0144,-0.0404,0.0074,-0.0101,-0.0042,0.0227,-0.0652,0.0322,-0.0019
125,MacArthurLab_126,missing,,fin,-0.0146,-0.0153,-0.0376,0.0068,-0.0098,-0.0053,0.0205,-0.0633,0.0311,0.0041
126,MacArthurLab_127,train,fin,fin,-0.0139,-0.0148,-0.0348,0.0054,-0.0141,-0.0012,0.0214,-0.0651,0.0264,-0.0044
127,MacArthurLab_128,missing,,fin,-0.0147,-0.0149,-0.0345,0.0048,-0.0142,-0.0071,0.0168,-0.0608,0.0298,-0.002
128,MacArthurLab_129,missing,,fin,-0.0145,-0.0167,-0.0374,0.0065,-0.0126,-0.0013,0.0221,-0.0632,0.0279,-0.0019
129,MacArthurLab_130,train,fin,fin,-0.0156,-0.012,-0.0467,0.011,0.0079,-0.011,0.0122,-0.0389,0.0219,-0.0013
130,MacArthurLab_131,train,fin,fin,-0.0153,-0.0114,-0.0491,0.0107,0.0047,-0.0044,0.0149,-0.0376,0.0211,-0.0103
131,MacArthurLab_132,test,fin,fin,-0.0152,-0.0145,-0.0404,0.0089,-0.0053,-0.0071,0.0176,-0.0592,0.0299,0.0042
132,MacArthurLab_133,train,fin,fin,-0.0149,-0.0126,-0.0434,0.0095,-0.0031,-0.0068,0.0209,-0.0605,0.0295,0.0034
133,MacArthurLab_134,train,fin,fin,-0.0149,-0.0145,-0.0425,0.0078,-0.0025,-0.0095,0.0207,-0.0653,0.0282,0.0032
134,MacArthurLab_135,missing,,nfe,-0.013,-0.0175,-0.0234,0.0056,0.0036,-0.0267,0.004,-0.0379,0.0117,0.0294
135,MacArthurLab_136,train,fin,fin,-0.0144,-0.0159,-0.0379,0.0074,-0.0046,-0.0081,0.0176,-0.0565,0.0298,0.0003
136,MacArthurLab_137,train,fin,fin,-0.0146,-0.0155,-0.0382,0.0072,0.0,-0.0142,0.0117,-0.0504,0.0231,0.0148
137,MacArthurLab_138,test,fin,fin,-0.0144,-0.0149,-0.0371,0.0088,-0.0013,-0.0123,0.0137,-0.0537,0.0261,0.0125
138,MacArthurLab_139,test,fin,nfe,-0.0149,-0.0141,-0.0444,0.0104,0.0045,-0.0122,0.0121,-0.0496,0.0226,0.011
139,MacArthurLab_140,missing,,nfe,-0.0142,-0.0141,-0.0403,0.0104,0.0016,-0.0101,0.0128,-0.0467,0.0191,0.0127
140,MacArthurLab_141,train,fin,fin,-0.0147,-0.0122,-0.0423,0.0087,0.0033,-0.0075,0.0136,-0.0364,0.0189,-0.0041
141,MacArthurLab_142,train,fin,fin,-0.0152,-0.0111,-0.044,0.0125,-0.0,-0.0035,0.017,-0.0534,0.0247,0.0058
142,MacArthurLab_143,train,fin,fin,-0.0159,-0.0107,-0.0473,0.012,0.001,-0.0075,0.0137,-0.0429,0.025,-0.0058
143,MacArthurLab_144,train,fin,fin,-0.015,-0.0128,-0.0421,0.0088,0.0007,-0.0101,0.0159,-0.0531,0.0222,0.0078
144,MacArthurLab_145,train,fin,nfe,-0.0147,-0.0148,-0.04,0.0118,0.0023,-0.013,0.0102,-0.0433,0.0218,0.0116
145,MacArthurLab_146,train,fin,fin,-0.0149,-0.0122,-0.0438,0.0085,-0.0,-0.0073,0.0179,-0.0573,0.0279,0.0014
146,MacArthurLab_147,train,fin,fin,-0.0138,-0.028,-0.0014,-0.005,-0.0138,-0.0318,-0.0026,0.0079,0.0082,-0.0123
147,MacArthurLab_148,missing,,fin,-0.013,-0.0293,-0.0016,-0.0042,-0.013,-0.031,-0.0049,0.0107,0.0062,-0.0137
148,MacArthurLab_149,train,fin,fin,-0.0138,-0.0279,-0.0015,-0.005,-0.0139,-0.0323,-0.0013,0.0066,0.0088,-0.0141
149,MacArthurLab_150,train,fin,fin,-0.0144,-0.0129,-0.0375,0.0071,-0.0114,-0.0055,0.018,-0.0608,0.0285,-0.004
150,MacArthurLab_151,train,fin,fin,-0.0133,-0.0295,-0.0024,-0.0051,-0.0131,-0.0334,-0.0022,0.0088,0.0071,-0.0132
151,MacArthurLab_152,train,fin,fin,-0.0134,-0.028,-0.0013,-0.0047,-0.0118,-0.0305,-0.0033,0.0089,0.0089,-0.0128
152,MacArthurLab_153,missing,,fin,-0.014,-0.0273,-0.0022,-0.0092,-0.0135,-0.0323,-0.0011,0.002,0.0083,-0.0136
153,MacArthurLab_154,missing,,fin,-0.0132,-0.0292,-0.0022,-0.0058,-0.0133,-0.032,-0.0025,0.0094,0.0094,-0.0137
154,MacArthurLab_155,missing,,nfe,-0.0155,-0.0196,-0.0297,-0.0006,-0.0242,0.0163,-0.0062,0.002,-0.008,0.0158
155,MacArthurLab_156,missing,,fin,-0.0135,-0.0291,-0.002,-0.0053,-0.0129,-0.0316,-0.0004,0.0066,0.0097,-0.0134
156,MacArthurLab_157,missing,,fin,-0.0134,-0.0283,-0.0021,-0.005,-0.0146,-0.0321,-0.0026,0.0069,0.0109,-0.0128
157,MacArthurLab_158,missing,,fin,-0.0134,-0.0277,-0.0016,-0.0063,-0.013,-0.0324,-0.0021,0.006,0.0112,-0.0126
158,MacArthurLab_159,missing,,fin,-0.0156,-0.0187,-0.0382,-0.0022,-0.0408,0.0426,0.0024,0.0095,-0.0168,-0.0138
159,MacArthurLab_160,train,fin,fin,-0.0154,-0.0197,-0.04,-0.0003,-0.0434,0.0454,0.0006,0.0105,-0.0215,-0.0107
160,MacArthurLab_161,missing,,fin,-0.0151,-0.02,-0.0329,-0.0034,-0.0414,0.0366,-0.0002,0.0087,-0.0164,-0.0112
161,MacArthurLab_162,train,fin,nfe,-0.0164,-0.0178,-0.0436,-0.0033,-0.0488,0.0498,0.0052,0.0117,-0.022,-0.0178
162,MacArthurLab_163,missing,,fin,-0.0149,-0.0141,-0.0429,0.0079,-0.011,-0.0003,0.0233,-0.0677,0.0334,-0.0034
163,MacArthurLab_164,train,fin,fin,-0.0151,-0.0115,-0.0465,0.0121,-0.0004,-0.0051,0.0184,-0.0577,0.0247,0.0069
164,MacArthurLab_165,test,fin,fin,-0.0147,-0.0191,-0.0305,-0.0042,-0.0376,0.0324,-0.0006,0.0107,-0.0132,-0.0067
165,MacArthurLab_166,missing,,fin,-0.0155,-0.0125,-0.0451,0.0099,-0.0019,-0.0063,0.016,-0.0584,0.0238,0.0053
166,MacArthurLab_167,train,fin,fin,-0.0146,-0.0207,-0.0337,-0.0036,-0.041,0.0321,-0.0023,0.0118,-0.0176,-0.011
167,MacArthurLab_168,train,fin,fin,-0.0145,-0.0229,-0.0346,-0.0036,-0.0389,0.0304,-0.0027,0.0153,-0.0153,-0.0084
168,MacArthurLab_169,missing,,fin,-0.0156,-0.0131,-0.0436,0.011,-0.0014,-0.0075,0.0169,-0.0552,0.0258,0.0027
169,MacArthurLab_170,test,fin,fin,-0.0158,-0.0124,-0.0476,0.0092,-0.0023,-0.0032,0.0161,-0.0558,0.0248,0.0024
170,MacArthurLab_171,missing,,fin,-0.0156,-0.0107,-0.0468,0.0106,-0.0002,-0.0054,0.0177,-0.0535,0.0264,0.0021
171,MacArthurLab_172,train,eas,eas,-0.0173,0.0375,-0.0049,-0.0088,-0.0466,0.0286,-0.0067,0.0135,-0.0188,0.0151
172,MacArthurLab_173,train,eas,eas,-0.0155,0.0368,0.0003,0.0008,-0.0063,-0.0176,0.0058,-0.025,0.0094,0.0172
173,MacArthurLab_174,train,eas,eas,-0.0167,0.0388,-0.0184,0.0069,-0.0141,-0.0001,0.0188,-0.0428,0.0161,-0.0007
174,MacArthurLab_175,test,eas,eas,-0.0154,0.0336,0.0275,-0.0101,-0.0282,-0.0116,-0.0281,0.005,-0.0066,0.0271
175,MacArthurLab_176,test,eas,eas,-0.0147,0.032,0.0264,-0.0108,-0.0277,-0.011,-0.0275,0.0084,-0.0045,0.024
176,MacArthurLab_177,missing,,eas,-0.0167,0.0411,-0.0192,0.0062,-0.0137,-0.0021,0.019,-0.0447,0.0211,-0.0036
177,MacArthurLab_178,missing,,eas,-0.017,0.0422,-0.021,0.0063,-0.0176,0.0018,0.0206,-0.0495,0.0204,-0.006
178,MacArthurLab_179,missing,,eas,-0.0155,0.0359,0.0175,-0.01,-0.0205,-0.0076,-0.0404,0.0137,-0.025,0.0448
179,MacArthurLab_180,test,eas,eas,-0.0144,0.0342,0.0023,-0.0015,-0.0103,-0.0187,0.005,-0.0262,0.0127,0.0131
180,MacArthurLab_181,missing,,eas,-0.0143,0.0335,0.0051,-0.002,-0.0132,-0.0197,0.0053,-0.0252,0.0089,0.0121
181,MacArthurLab_182,test,eas,eas,-0.0168,0.0396,-0.0136,0.0046,-0.0127,-0.0049,0.0175,-0.045,0.0175,0.0017
